id;user_id;title;created_at;updated_at
794d8767-a561-4ae1-ac3e-76bbc4407ea8;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-03 15:09:57.378192+00;2026-02-03 15:12:18.399311+00
aa12019e-4922-457c-a269-f53760393f0c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;hi can you understand me now hi can you understand;2026-03-10 06:00:42.791647+00;2026-03-10 06:04:45.779514+00
e9088787-eeef-4517-b6ea-6980be8095c1;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-03-29 06:30:26.41125+00;2026-03-29 06:34:59.782785+00
6232ed66-eb71-4e67-9837-8a588d83374b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-03 15:35:50.662321+00;2026-02-03 15:40:41.9188+00
9f8add92-79e6-4ace-b658-de97b9efc22a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Analyze this image;2026-03-29 06:46:17.247669+00;2026-03-29 06:47:26.560257+00
d30eda08-a52c-4391-8314-28bcc6df2395;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-04 04:48:29.30332+00;2026-02-04 04:48:36.942656+00
b3ec5a8c-7c65-4259-91de-0ca0f5712048;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Review my week;2025-12-26 05:53:35.66325+00;2025-12-26 05:58:43.0613+00
18187ef1-5cf8-4340-a8a7-261f565a7a82;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;What am I doing right this week?;2025-12-26 06:29:57.957478+00;2025-12-26 06:30:00.714503+00
e12311b1-a347-48ad-a04c-c582f3453a18;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;What should I improve?;2025-12-31 16:54:51.967529+00;2025-12-31 16:54:57.973727+00
03be3949-28ee-4885-81c7-667e0c61383c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-04 05:10:12.210613+00;2026-02-04 05:10:22.331369+00
5297d59e-6496-4123-9082-e33f8d57f3f8;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-04 05:16:12.611687+00;2026-02-04 05:16:20.148072+00
ed2a76bf-c4c2-4bb7-83a8-67e266e02600;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;What's my current win rate and how can I improve i;2026-04-08 04:59:35.976802+00;2026-04-09 14:03:23.826626+00
9a69ddd9-dab9-4793-98f2-d5ed55eab29b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;Extract trades from this screenshot;2026-02-04 05:17:11.235582+00;2026-02-04 05:17:17.007131+00
