id;ticket_id;sender_type;sender_id;sender_name;message;telegram_message_id;has_attachment;attachment_type;created_at;attachment_url
585f4a70-40fd-47b5-b4d7-7004ec9ed98f;17f9a2de-2ba5-4675-9c31-fb7fb979c90b;user;;SONEJTRADER;hi;;false;;2025-12-19 15:56:17.312182+00;
912998eb-0ce2-45ae-8655-df0267ed7368;17f9a2de-2ba5-4675-9c31-fb7fb979c90b;user;;SONEJTRADER;helloo;;false;;2025-12-19 15:58:52.142022+00;
4ef759fd-77df-4eeb-bc06-3378969a8d25;17f9a2de-2ba5-4675-9c31-fb7fb979c90b;user;;SONEJTRADER;hi;;false;;2025-12-19 16:05:04.644494+00;
fd97acf9-38c7-4e83-ab9b-c5221fe135aa;902a4264-9306-4062-b45e-3365cb5f833a;user;;SONEJTRADER;hei;;false;;2025-12-19 16:05:32.98323+00;
47c715f6-dc04-4618-9762-6cdce9961c2e;902a4264-9306-4062-b45e-3365cb5f833a;user;;SONEJTRADER;hello;;false;;2025-12-19 16:06:46.625586+00;
84ff029e-6f00-40a2-aa1f-0cd0e827cfb7;902a4264-9306-4062-b45e-3365cb5f833a;user;;SONEJTRADER;hello;;false;;2025-12-19 16:06:59.64555+00;
88f906db-dbf1-404b-b7b6-621ae977b099;902a4264-9306-4062-b45e-3365cb5f833a;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;hello;;false;;2025-12-19 16:08:25.695795+00;
8f2884ef-8e2e-4af8-b8fd-b7d795cea52d;902a4264-9306-4062-b45e-3365cb5f833a;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;hello;;false;;2025-12-19 16:08:25.700673+00;
7a4cb0e0-b4b7-4058-a91d-00fa3ad97e79;902a4264-9306-4062-b45e-3365cb5f833a;user;;SONEJTRADER;hi;;false;;2025-12-19 16:09:13.082579+00;
0a27f48a-6f7a-42da-9cc9-5f14c94df5ab;902a4264-9306-4062-b45e-3365cb5f833a;support;616f2a58-669b-4c40-822e-adfef7058906;Zuber Harun;hi;;false;;2025-12-19 16:10:28.166227+00;
6a5a6ba4-151f-4cad-9513-684b325bf860;902a4264-9306-4062-b45e-3365cb5f833a;support;616f2a58-669b-4c40-822e-adfef7058906;Zuber Harun;hi;;false;;2025-12-19 16:10:28.814184+00;
9064a31a-bada-480c-bf5e-afb4dda6770b;902a4264-9306-4062-b45e-3365cb5f833a;user;;SONEJTRADER;hi;;false;;2025-12-19 16:10:42.662551+00;
0506d2ba-35f6-4a6a-9bda-862f7e1743b0;902a4264-9306-4062-b45e-3365cb5f833a;support;616f2a58-669b-4c40-822e-adfef7058906;Zuber Harun;hi;;false;;2025-12-19 16:10:42.818977+00;
21929926-e7d6-46f5-94a1-5ae3a5dd5c05;13c39a7e-dea0-4318-96a7-13de5692eb8f;user;;SONEJTRADER;[Photo attached];;true;;2025-12-19 16:23:55.547076+00;
1681c243-edf6-466c-8570-c6fa5d36f11f;13c39a7e-dea0-4318-96a7-13de5692eb8f;user;;SONEJTRADER;[Photo attached];78;true;;2025-12-19 16:58:14.69978+00;https://api.telegram.org/file/bot8500363004:AAHsEmquNa2kBRzR9WSK_J7-2pPoVbqew5A/photos/file_0.jpg
1f685ebb-a7d4-4bae-8ad3-8e23e1f407cb;13c39a7e-dea0-4318-96a7-13de5692eb8f;user;;SONEJTRADER;hi;80;false;;2025-12-20 06:34:36.199684+00;
58699c14-0c82-424b-9a21-1d7771cedde5;f9c000cd-4993-433b-8236-851530baf191;user;;SONEJTRADER;wanna contact;84;false;;2025-12-20 06:50:00.508063+00;
e11cbe35-acd9-46b9-9a82-53db5de04a72;f9c000cd-4993-433b-8236-851530baf191;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;Hi! This is obsan, your support assistant for today. How can I help you?;;false;;2025-12-20 07:03:47.777896+00;
87f65a28-7300-424a-8447-1e6123ea9f90;f9c000cd-4993-433b-8236-851530baf191;user;;SONEJTRADER;here to file a compliant;87;false;;2025-12-20 07:04:13.825578+00;
d35296c1-e482-45ae-b9ea-412f99cddcd0;f9c000cd-4993-433b-8236-851530baf191;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;Let me help you troubleshoot this. Could you please describe your compliant?;;false;;2025-12-20 07:05:34.027272+00;
4a6ce586-fa7e-4cd9-ab33-f238dd43c6c9;f9c000cd-4993-433b-8236-851530baf191;user;;SONEJTRADER;[Photo attached];89;true;;2025-12-20 07:06:11.781126+00;https://api.telegram.org/file/bot8500363004:AAHsEmquNa2kBRzR9WSK_J7-2pPoVbqew5A/photos/file_1.jpg
6e2ae231-1c67-4d89-bda0-cc385a634a4f;f9c000cd-4993-433b-8236-851530baf191;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;Could you please provide more details?;;false;;2025-12-20 07:07:30.558088+00;
01207c06-9bc2-4a49-9704-86627c921f0d;f9c000cd-4993-433b-8236-851530baf191;user;;SONEJTRADER;how much does it cost for plaque print;91;false;;2025-12-20 07:07:57.888725+00;
b953d1e3-ae87-41bd-9a78-f76150cc32bd;f9c000cd-4993-433b-8236-851530baf191;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;SMALL SIZE:- 37.99$ BIG SIZE :- 67.99;;false;;2025-12-20 07:09:12.36701+00;
410ac103-d8a0-4fa3-a620-358b5bb26899;f9c000cd-4993-433b-8236-851530baf191;user;;SONEJTRADER;OKAY👍;93;false;;2025-12-20 07:09:44.255499+00;
50742170-e24e-4bdb-8f39-47cff7ab56eb;f9c000cd-4993-433b-8236-851530baf191;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;Is there anything else I can help you with today? If not, I'll close this ticket. Feel free to reach out anytime you need assistance!;;false;;2025-12-20 07:10:03.663849+00;
d4b3ce91-bf1f-48fa-8edc-7b01f47ff444;f9c000cd-4993-433b-8236-851530baf191;user;;SONEJTRADER;NO THANKS;95;false;;2025-12-20 07:10:19.121296+00;
97df9bc4-6da9-45a8-80e1-857d326e27df;f9c000cd-4993-433b-8236-851530baf191;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;I'll close this ticket. Feel free to reach out anytime you need assistance! To start a conversation again write /start;;false;;2025-12-20 07:11:34.307104+00;
ac511f81-0eb3-4c80-bcd2-ff642853e199;f9c000cd-4993-433b-8236-851530baf191;ceo;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;obsanet2021;I'll close this ticket. Feel free to reach out anytime you need assistance! To start a conversation again write /start;;false;;2025-12-20 07:11:34.556636+00;
