id;ticket_id;sender_id;message;is_staff_reply;created_at
981e572a-bbe8-4e6e-a939-aaab785716d3;bca469e1-183b-4f74-97c0-ef1687fbf88d;18500679-9563-4266-bbd5-a14d1306147a;HOW ARE YOU;false;2025-12-16 18:36:40.9836+00
8b4e2bf9-b801-4983-abb1-34986969e6a3;bca469e1-183b-4f74-97c0-ef1687fbf88d;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;HI, HOW MAY I HELP YOU;true;2025-12-16 18:37:04.460919+00
d92c4787-ccc3-400c-b50a-5a8a19e0de46;bca469e1-183b-4f74-97c0-ef1687fbf88d;18500679-9563-4266-bbd5-a14d1306147a;NOTHING;false;2025-12-16 18:37:14.051971+00
1decd5ec-6b6b-480a-847c-a74dbac556e8;bca469e1-183b-4f74-97c0-ef1687fbf88d;18500679-9563-4266-bbd5-a14d1306147a;OKAY;false;2025-12-16 18:37:28.00757+00
a41c5af6-bad5-44d0-a560-7fa99c242ad0;bca469e1-183b-4f74-97c0-ef1687fbf88d;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;OKAY;true;2025-12-16 18:37:38.94724+00
3a5169a1-582b-4523-8d27-7f2c5c22c71a;362db132-7f76-4f04-b379-d25e2bfe65fa;18500679-9563-4266-bbd5-a14d1306147a;HI;false;2025-12-16 18:52:51.879225+00
9f6c41d6-1b8a-412d-84d0-65fcb1b71dc6;362db132-7f76-4f04-b379-d25e2bfe65fa;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;KARKARO;true;2025-12-16 18:53:09.411008+00
3268f54d-d19a-4f0f-a8fb-0480526a0e0a;76593923-9d5b-4108-bc74-a85f1c9a8249;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;hi;false;2025-12-17 08:32:06.280356+00
f696175b-4bfb-4973-899a-2bbf7e224c92;8694bb5f-bd50-4a65-bc5f-13aab30628ab;46e358c7-53f0-4be3-858a-a7063f0703f0;test 1 2 3 kesera d negeregn;false;2025-12-17 08:33:55.220761+00
1a47d4ec-acc8-4476-990d-402bdc878c07;8694bb5f-bd50-4a65-bc5f-13aab30628ab;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;hi;true;2025-12-17 08:40:07.726623+00
28d214ed-72da-4109-a840-b1c1efed1f5d;8694bb5f-bd50-4a65-bc5f-13aab30628ab;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;zuber;true;2025-12-17 08:40:35.98739+00
642c08d2-2e0f-4e96-bd1c-209cc43bec71;8694bb5f-bd50-4a65-bc5f-13aab30628ab;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;hi;true;2025-12-17 08:40:55.440128+00
b947cf3c-154a-439e-b43e-3b641e39e7fd;8694bb5f-bd50-4a65-bc5f-13aab30628ab;46e358c7-53f0-4be3-858a-a7063f0703f0;alalalalaallcmankncknanciqheuowhbou'[GN;false;2025-12-17 08:41:02.593701+00
068c3a5d-19b2-44f4-bf8c-8b09cfa5541b;01318572-961b-4733-aee5-46751c462baf;18500679-9563-4266-bbd5-a14d1306147a;problem with payment submissin;false;2025-12-18 17:43:28.584452+00
6bb4c4ac-2eb1-4c3f-91fc-b084c43c853f;01318572-961b-4733-aee5-46751c462baf;616f2a58-669b-4c40-822e-adfef7058906;HELLO;true;2025-12-18 17:44:49.99672+00
528af968-230e-4547-984d-cb928f13bf4f;01318572-961b-4733-aee5-46751c462baf;18500679-9563-4266-bbd5-a14d1306147a;harre;false;2025-12-18 17:44:57.884254+00
f65be9be-1af4-4976-a0d1-206be4cd3fde;01318572-961b-4733-aee5-46751c462baf;616f2a58-669b-4c40-822e-adfef7058906;KG0UVYCILFFKTUFTCXDJTUR6I57TUXFHDZTUE5S6D7CFHM;true;2025-12-18 17:45:19.072811+00
a6e024e6-028c-4a5d-896f-3e69e1c91c75;01318572-961b-4733-aee5-46751c462baf;616f2a58-669b-4c40-822e-adfef7058906;KG0UVYCILFFKTUFTCXDJTUR6I57TUXFHDZTUE5S6D7CFHM;true;2025-12-18 17:45:19.072548+00
3d9a9920-e608-4ec7-8855-2f4a77ab5911;01318572-961b-4733-aee5-46751c462baf;616f2a58-669b-4c40-822e-adfef7058906;KG0UVYCILFFKTUFTCXDJTUR6I57TUXFHDZTUE5S6D7CFHM;true;2025-12-18 17:45:19.087963+00
526eeaa7-4731-4d40-b258-ce34248fd3df;01318572-961b-4733-aee5-46751c462baf;18500679-9563-4266-bbd5-a14d1306147a;close argew beqa;false;2025-12-18 17:45:20.129821+00
2cb5a23d-3562-4a7c-9130-653c79e73adb;01318572-961b-4733-aee5-46751c462baf;18500679-9563-4266-bbd5-a14d1306147a;close argew;false;2025-12-18 17:45:55.190745+00
ef7a893f-2e5d-4619-9147-a8645df49eb2;3e8179b5-425a-4754-830b-e724fdcb7729;18500679-9563-4266-bbd5-a14d1306147a;I want my payment to be reviewed properly;false;2025-12-19 05:08:24.121206+00
a35e89f7-12e7-47b9-9a0a-1cef9b6c3aba;3e8179b5-425a-4754-830b-e724fdcb7729;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;hi i will be assisting you today;true;2025-12-19 05:25:21.54683+00
